importer,country_cluster,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
579,4,-0.009246315892332145,0.11268029524910193,1.634499838514921,-0.1153328089438959,0.08338514078134436,-0.261106898052138,-0.41281698349898216,0.11324757927203848,0.30715909458461194,0.44567841815414594,-0.5370576039856922,-0.3175632837299782,-0.1469067206946999,-0.7132678950925683,0.0139996283755229,-1.0319798805669216
586,7,-1.2106263696456026,0.35646781239392067,-1.069924132141254,-0.09818463547539838,-0.1870645927487038,0.12228806507993929,0.2605430600591607,-0.22688529799749751,-0.0482473368660702,-0.14778643475990252,0.3519675426404186,0.010667455322473129,0.16856916844265785,-0.3582852934970526,0.2066897756751727,0.24226415756790853
591,7,-1.113118569305902,-0.3985813820104374,-0.1845978449025088,0.10667446967839338,0.28151981133797516,0.19248230746858597,0.28585044176984703,-0.57896571258245,0.39828799944055204,-0.10980444115923013,-0.3792777424174086,-0.06472548447025278,-0.006429827480032378,0.14674925307369321,-0.04441669312693679,-0.08408731139956419
600,6,-1.331911940562569,-0.8234811294987483,0.3077171096364466,0.20940825152814627,0.07008024355165551,0.535880685271893,0.2583181073600818,0.27812568850347713,-0.8900438235047604,-0.777873698802648,1.3443227568144165,0.6629287242961089,0.31950511710500595,1.3729966354023604,-1.05960174537037,-0.2733802273967584
604,7,-1.3513111467579666,-0.13865800502106967,-0.7474162782833612,0.04315257991499645,-0.15962117746027873,0.11839832022127546,0.28052261612034907,-0.6353906623224643,0.38196591695160864,-0.13667709055881883,-0.20475492674304868,0.008296079011779254,0.17002977213901863,0.16886069094510228,-0.42983970917344066,-0.20165825727617434
608,7,-1.4716737931419068,0.08335931089488596,-0.8968349167990132,0.008616357952551543,0.24784385797976707,0.1654530300283062,0.4039072519163152,-0.7007224289715077,0.4710779450835892,-0.19734861936017611,-0.19365138803708198,0.08164754703508585,0.04282836372008054,0.496892854615644,-0.22484729155539634,0.012830829536947775
616,4,-0.25358777598374366,0.08044642010928638,0.3101197295867103,-0.009705038678393518,-0.04455509355943939,0.37816246111819174,-0.09423000457894566,-0.21153805170961115,-0.3841088459959202,0.09460270039203825,-0.08687604226486456,-0.35386951347068957,0.20507462925546274,-0.8326134408114159,0.5173265604554854,0.04950590619050025
620,4,0.12214522239905881,0.23589758959037144,0.5364898712496236,-0.1186051560216317,-0.3954060225676604,0.5486888101973948,-0.1767088520285329,-0.1545755959464382,-0.5319480860386251,0.10886550166419282,-0.1267367692096194,-0.48214520227873087,0.19511824835847683,-1.1488055362719576,0.31008340557139485,-0.1552032308119038
634,2,2.3034192246895056,-0.43910874610626915,0.9022603150308562,-0.05297116849849692,0.09310441548032958,-1.4689701656231604,0.42445193922516145,0.10183277650063886,1.8098072597009398,0.0635286286374287,0.08260758724641422,0.4989528507737413,-0.038590209464835094,0.04590215870090512,-0.16627583810261126,-0.48713160471745015
642,4,-0.5217199979348145,-0.2470733589467632,0.02214130252638427,0.03743513801969759,-0.18989749441896378,0.30795318016521367,-0.007982154578586793,-0.27030312277035407,-0.29934067643077095,0.006639185165787909,0.061327590168080405,-0.24510688898821073,0.31862963902626956,-0.9768736101909148,0.37338107374626667,-0.0033589322003969254
643,4,-0.6782800220483991,0.6091051954161915,-0.34899516053440477,-0.13251260265450607,-0.29126898609272706,0.04853430298689521,-0.18595708909083436,-0.050030031308558286,-0.29640867434422674,0.11211306382485124,0.23475551137363262,-0.15272108652770577,0.26866478457418824,-0.8097058121083011,0.15115574866051423,-0.03130416807149195
682,2,1.9739245400024068,-0.19369751895367782,-0.37782092256823463,-0.04400881934833156,-0.16056780253028155,-1.145794799457108,0.6373521478046484,-0.22007923768748724,1.3235457351897264,-0.1684165856359188,0.6819109039553047,0.5716093503649549,0.44438264534002664,-0.18414195883685686,0.008455474428184359,-0.13239233339100925
688,4,-0.7585258335122441,-0.47874181084030115,-0.03906357340169821,0.10277657616576553,-0.1630763131866222,0.25402767571016777,0.01911946506616148,-0.2894208337568423,-0.0851840119628617,0.007642684291944204,-0.15535534740074908,-0.21795627623195885,0.15661666481852837,-0.5704192862804002,0.20439510571490024,0.23177230884221214
