product,sector,product_cluster,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
0208,Agriculture & Food,3,0.0037732188941245483,-0.14290098979883295,-0.006719926701528736,-0.5492409693317615,0.012976510565070879,-0.09081775918095555,0.0495785376837419,0.23036108307850367,0.03323740794986208,-0.2738650846662601,-0.21858420881966398,-0.09757753455539807,0.059691806959462086,0.0038989532192480287,0.0753169193924156,0.0354985055225501
0209,Agriculture & Food,0,-0.13025721120173045,-0.11143542667253413,0.11263386564222967,-0.5556811996151345,0.07132807264425683,-0.022829230887180398,-0.026760113722748016,0.14488414425235846,-0.03707123345306851,-0.2606713269804,-0.20099881851729018,-0.11651125436314479,0.10780037011112492,0.03969568003704796,0.018903575829784903,0.03100788369198823
0210,Agriculture & Food,0,-0.015240815920985279,-0.11593848752192293,-0.020719491417113968,-0.4551101987783153,0.03073647063650588,-0.07431000381799169,-0.08167105447842006,0.019660215550527008,-0.03283676492618444,-0.02269728101945991,-0.09168541650102119,-0.03038583425902042,0.2747923644013506,0.07913490261449654,0.044696175263829935,0.08498591242037376
0301,Agriculture & Food,0,0.019438513174436838,-0.036578001812595975,-0.016563513076128696,-0.17676911085948124,0.0006044418880846748,0.12614654483710083,-0.09952476051785594,0.0024143344675125167,0.10180154812750873,0.026749550398845016,0.05034627908742342,1.603109456077092e-06,0.031799979582445466,0.02269824645266486,0.022834615160946224,-0.03702911834747587
0302,Agriculture & Food,4,0.012065803158787422,0.05410716984476642,-0.0049588444595962955,0.27703761586159376,-0.01612083270944748,0.06250687923532179,0.07456028325075292,-0.029020545060542108,0.017942464405954928,0.10493997072663012,0.08062554612465707,0.043665862831525355,-0.15506631451724864,-0.042232679491840064,-0.044618409285721305,-0.05821871760534021
0303,Agriculture & Food,0,0.008471224439522859,0.0407609233749482,0.013572717290969458,0.1009218763594362,-0.036622222696601356,-0.002751825990837994,-0.12622525267518808,-0.12944422730301758,-0.007326407534921166,0.0264879272875844,0.02666984828064948,0.08771891036856429,0.04965912238441283,0.022061734232574886,0.03136571902682781,0.023819010297976853
0304,Agriculture & Food,0,0.009033602831552467,0.039916830890510784,0.015754067187050115,0.0591182714922191,-0.016663288341518763,-0.006621485607228271,-0.08977982126617298,-0.09702218228534348,-0.027092225923674766,0.067962582690396,-0.019323813856545757,0.09443891583228235,0.1593139359914424,0.03260632321113454,0.019711005870505977,0.08188520174050215
0305,Agriculture & Food,0,-0.008317539494543754,-0.09105454861065775,-0.01586888817024703,-0.38426897278598704,0.0061307385947122735,-0.05446177123652391,-0.1453382244833695,-0.035025444707476254,-0.02202879141061928,-0.03042165366699507,-0.062307758779830955,0.011016560170888213,0.2466903550181548,0.0756147071822613,0.05953300341154737,0.07054950940403173
0306,Agriculture & Food,4,0.011791630667474726,0.087884542189559,0.008202343470542583,0.37680522717507636,-0.024896263569496483,0.01963020109449892,0.055262849066566484,-0.06483412222063256,-0.014253681910862116,0.08392621310515576,0.05749033589692734,0.06441567496814452,-0.1129737685195925,-0.03615632364026977,-0.03425414441382998,-0.014405152023362126
0307,Agriculture & Food,4,0.013511217654188085,0.03491273879960275,9.09937497811536e-05,0.16887342302834887,-0.03350556443226144,0.08097314566675456,-0.05501466090439101,-0.08763433181513718,0.05814510383074554,0.0880741673161364,0.12090540198752779,0.036185293656011586,-0.13223966650714805,-0.012792929589455961,-0.008439211314885993,-0.08134226666677462
0308,Agriculture & Food,3,0.05079169326323792,-0.09825116779827535,-0.04122812788005104,-0.40898564531020726,0.03280293380157512,0.12006182598351443,0.10819163421158638,0.396098994030461,0.16586994229689117,-0.2848565855534368,-0.1589145446238267,-0.1755730228774902,-0.05291905950636009,-0.02606399127611957,0.019588314280509642,0.0018126544542407508
0401,Agriculture & Food,0,0.004519002274450864,-0.04453051611558352,-0.013911542075356905,-0.21349123567689554,0.017815978230214045,0.01883986801366133,-0.007304201991937454,0.006061178982215729,-0.020428386770555744,0.08724797796551366,-0.048178013178695314,0.06733037457613654,0.15893265421367048,0.025412521291866823,-0.0015467760405549146,0.04993485666235125
0402,Agriculture & Food,4,0.009557946781654704,0.05477395718831333,0.022914246953325928,0.13724070446259629,-0.040911348127392465,0.0014750014458235715,-0.15595103775588026,-0.17285995603847354,-0.002035171173189743,0.06585366545547529,0.05800956890737852,0.09283018600912878,0.046463993895876174,0.026329021747160397,0.031931630560948436,0.014205706093705688
0403,Agriculture & Food,0,0.00978328796815069,-0.04363660609505113,-0.017319234175714696,-0.21228852682123323,-0.00836737230848303,0.09767360649845055,-0.10696159402201626,-0.002420202346005419,0.07128270069196509,0.0466608437466318,0.016463610865756338,0.024793598802355387,0.12042423543157618,0.04111794450835614,0.02426185570201773,0.008516079565874234
0404,Agriculture & Food,0,-0.010452123148841707,-0.09560468589384799,-0.016249253878400836,-0.41084371644483725,0.013848153291238669,-0.05701567164258703,-0.13835490774800085,-0.036406679352213055,-0.02656129506675029,0.0010397513472863598,-0.06087597217759178,0.006721490017771213,0.27311315014216675,0.08132616737744337,0.055772774019273025,0.0757790103113005
0405,Agriculture & Food,0,-0.0021530792887961454,-0.052915811631375154,-0.01086963747712094,-0.25201032614280494,0.040461106716988604,0.006741033745694866,0.02253882098243671,0.004724170721646231,-0.03729384088834285,0.16827082463666487,-0.05018170170471632,0.0510492557118219,0.2295126535206201,0.03544508136718947,-0.0174985162709817,0.07448189070376691
0406,Agriculture & Food,4,0.011263338864496559,0.09986224290056932,0.028647394337055734,0.30448052421630944,-0.024541063376019454,-0.014224504748060685,-0.04781527875754823,-0.12288223774406819,-0.03723500091830696,0.10239830270959657,0.011801195765617207,0.09174135446484277,0.1012153917498268,0.013541331804846941,-0.0011799759929688651,0.08284021703869661
0407,Agriculture & Food,0,-0.00841718305296835,-0.12022839399487116,-0.038455310406185016,-0.41464732620993205,0.03859310911164769,-0.03273812979236372,0.012528060293974493,0.09888621852864576,-0.028080623139675458,-0.03841078005475343,-0.10293821080037097,-0.025083469888669285,0.18915770059250095,0.04061388427746203,0.020765548724945813,0.05864908846401679
0408,Agriculture & Food,0,0.0022669588375485903,-0.1246067144432602,-0.03373692918367671,-0.49308126909436384,0.08956871985734383,-0.02717479511900817,0.05115124424140732,0.09642978123305723,-0.024307677098189776,0.018411277418531435,-0.11954228994027687,-0.03376372289454263,0.22852895164505327,0.023944948430535917,-0.009358530313335943,0.06578870478205522
0409,Agriculture & Food,0,0.012644061149281866,-0.037505969715958126,-0.023600104783423097,-0.10353119784526145,-0.011551147359762995,0.05454477724102349,-0.012237262729058554,-0.01822332288060412,0.023695682744045186,0.034080598668839585,0.039482862608613986,0.06338012421268631,-0.10346924702773637,-0.017846323961167886,-0.00182204931081295,-0.07982722370473341
0410,Agriculture & Food,3,0.04217825249261022,-0.1623177963869771,-0.0704816340938034,-0.5347520588505967,0.06611204909781083,-0.052219717622330096,0.197394383821217,0.30923305787365196,-0.01028934526138714,-0.11236536750139471,-0.23060646693901574,-0.09734921903185254,0.08931907562062325,-0.025520456682837818,-0.013818668653267138,0.052792067312605884
