importer,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,country_cluster
76,-1.294470778733823,0.7685147161107689,-0.8809068684257252,-0.1504501810710687,-0.2178479241043795,-0.1631318567281323,-0.0747274701142018,-0.1678384063554828,0.2191517797020457,0.0089242862894609,0.105337607241925,0.0264734721345672,0.1463869773266923,-0.0952818003426761,-0.4787591509886161,0.0036485711104722,7
100,-0.4849918968208561,-0.5683991488242011,0.3028862751494872,0.1145217769387298,-0.0868183614799295,0.3077574140179882,-0.1072101472768706,-0.1367072980517266,-0.2695196847581131,0.0516312233368641,-0.1243520332489599,-0.3089195677028691,0.1604404439855404,-0.9270304332859456,0.4554181271307222,0.4131758384337796,4
104,-1.3223684863786669,-0.313580381236763,-0.7345968247211241,0.0676294267473728,-0.145730850834176,0.1575344683456315,0.3674357883206453,-0.3800558536596123,0.2818316511938833,-0.2232129475867401,-0.2681037892957419,-0.0389184513164267,-0.0146100077165223,0.1154658483550155,-0.1947529637939931,0.1228958079047551,7
112,-0.6305760021210195,-0.6294640998435644,0.1631827410155046,0.150020749318165,-0.4761432014430127,0.1836630792017976,-0.2042781965131196,-0.0244981815273985,-0.2715468425875372,0.2372415765074641,-0.1956886096938405,-0.2332895122740906,0.0877667183267788,-0.6848045881946708,0.4381995393706394,0.5269501118131773,4
116,-0.2963406406035321,-1.149628174583479,-2.113190357302952,0.5498009427057604,1.6641125584431509,0.929827263852978,-0.6308686026134254,-0.4814941232819357,-0.6546287106003649,0.0486138939241375,-1.6920827346201726,-0.4685196467039509,-0.8723546941270297,1.6014340459159646,-0.5776970714465625,0.3121881120214579,7
124,2.8176771302636863,1.146941250199071,0.2880482697695048,-0.3698516025878541,-0.3389924286634428,-0.8932817446051865,0.4188077433672165,-0.2661219280141542,1.1514575544258765,0.0735233850357296,0.1256174431557136,0.4309988880980339,0.152831008384818,0.2481610003377571,-0.334243292080446,-0.7226984924898177,2
144,-1.2506510592907694,-0.2470133710109405,-0.8051289599934606,0.0351728995510589,-0.4126378244552893,0.1600705086451894,0.3777870243182651,-0.3702640927284416,0.1919417530399118,-0.204334932935186,-0.1669495809657173,-0.0629779642943462,0.1068670320122179,-0.066763792968357,-0.239231390663152,-0.1980401370349358,7
152,-1.302669082235716,-0.1052200367781081,-0.492891862527597,0.0339487516499146,-0.141003547294323,0.0457412749813539,0.1874753808697711,-0.6254662733668989,0.5054331807770224,-0.0281427190674219,-0.409581355930384,0.0029612782916351,0.0688089002018704,0.3827496073303144,-0.5545344616522299,-0.2657930364672284,7
156,-1.5733208647647543,6.635054408781775,-1.959020952514302,-1.2904920997190117,2.4657524038644056,-1.432140941974266,-1.0603657467497196,1.8312726511210893,-0.0369949632809972,0.0967216253991927,1.4057704739226604,0.5540668893966253,-0.849970392491038,0.2766989593589405,0.2715693237068556,1.7773260524583308,1
170,-1.2745816112856303,-0.0457828987707326,-0.7764183821449383,0.0218175079029388,-0.2292539865253409,0.1307977954281221,0.2329651529488474,-0.5747260995108419,0.262447926419841,-0.0934752129409475,-0.0448597899336804,-0.0036843781384672,0.2500409736217465,-0.0290218044739382,-0.2849808058718089,-0.2254580603530005,7
180,1.6762415249369418,-0.7628643301091889,-0.7813465822347945,0.0583325636359681,-0.2593028323615617,-1.1005504214330415,0.9957231721135724,0.0100722566193517,1.3451183833971936,-0.5424302016867183,0.6161630542605323,0.5300616996269394,0.2487729858342326,-0.2314125235438519,-0.0332132126463226,0.2332078670818437,2
188,-1.1234108102824167,-0.2144189940506362,-0.4082337767315482,0.046811686578041,-0.0403557223506222,0.2077160987826209,0.2726903462534583,-0.6051520280127859,0.3399449784407173,-0.1206082356414733,-0.3138705737184055,-0.0522355576006084,0.0843223425266531,0.0872307532274724,-0.2760600124150618,-0.2368781822336843,7
191,-0.4880197792767092,-0.4926506507155558,0.245387542143407,0.0882741525243255,-0.1416328488141318,0.2745009532452283,-0.067540906679001,-0.1373830893069955,-0.2436560328581031,0.0193396179843946,-0.0137743546914881,-0.3092529250995022,0.241076590592036,-1.0494793530015245,0.4010357334139941,0.1426820483065345,4
203,-0.0689537310504817,-0.6033846623356793,1.7446476901953978,0.1138521482670395,0.0955610868677109,0.7264434057221302,-0.3375021859728492,0.7225442804912418,-1.6472473771861766,-0.3759806426558873,1.2597229764849,0.2988245778487801,0.2716550274046591,0.4027658953709774,-0.2798714413836623,0.0914544527374974,6
208,-0.063851188280827,-0.13035557124186,1.3885568176979772,-0.030676170418398,0.1280009644454701,-0.0551160433094267,-0.3748250042757787,0.0409004721954303,0.0813818903680824,0.3479259862248842,-0.5010101538097056,-0.3507786811180335,-0.1070511765935353,-0.7674984487951224,0.2043766449905557,-0.4027451540227909,4
214,-1.0578305776153427,-0.2039502934057246,-0.5702579107577612,0.0377810398828202,-0.0211341348931969,0.2981032014574589,0.3976204717409073,-0.5710306850929581,0.1380238451478274,-0.1937662841819913,-0.0698156754158031,-0.0965830379174053,0.1838158243444548,-0.1808426032522792,0.0633945469365088,-0.3001578147553311,7
218,-1.2896756023079166,-0.2476530930173873,-0.6832440554362406,0.0593614445449014,-0.2192148586331762,0.1361472856117185,0.2768467719806824,-0.5679883809141263,0.3292354441216556,-0.1916249548811843,-0.226431715958267,-0.0392728445034648,0.1646607820409266,0.0039235069479191,-0.4782286100501828,-0.1506032644645183,7
233,-0.4537673072978251,-0.6592107413021968,0.715943618568623,0.1250089228885064,0.0807568269767924,0.1714154804715748,-0.1809290714527249,-0.043652480821262,-0.0608696741057036,0.1422023630792834,-0.4307642627288556,-0.3031201091585555,-0.0862661601218934,-0.6451411131093745,0.3850194338270882,0.4326422847761161,4
246,-0.3104059540432543,-0.1207051448427771,0.8411245806523288,-0.0321518033100586,-0.2202687751702119,-0.0525404684715075,-0.2996278213590967,-0.0519899367151757,0.0421018306106182,0.2445770412682551,-0.3394648955003501,-0.3103658329722383,0.0662781860675014,-0.8087160356187264,-0.0873168570612925,-0.4102690880134694,4
